EMPID,Team,Cluster,Qualification,Sex,Recruitment_Mode,Number of Certifications,Age,Last Year Rating,Years_Of_Exp,KPIs_Met? >80%,Performer_Award??,Avg_KPI_Score,Is_Retained?
22487,Operations,Cluster_4,Bachelor's,f,sourcing,1,27,1,4,0,0,57,0
60691,Finance,Cluster_13,Bachelor's,m,other,2,28,,1,0,0,58,0
58595,HR,Cluster_13,Bachelor's,f,sourcing,1,31,2,6,0,0,49,0
21577,Procurement,Cluster_5,Bachelor's,f,other,2,28,,1,0,0,67,0
65936,Technology,Cluster_4,Master's & above,f,other,1,34,3,3,1,0,80,0
78263,Sales & Marketing,Cluster_2,Bachelor's,m,sourcing,1,31,3,6,1,1,44,1
6024,Analytics,Cluster_28,,m,other,1,27,3,1,0,0,82,0
41728,Sales & Marketing,Cluster_33,Bachelor's,f,other,1,32,3,4,0,0,49,0
32547,Sales & Marketing,Cluster_22,,m,sourcing,1,26,3,2,0,0,51,0
74925,Analytics,Cluster_34,Bachelor's,m,sourcing,1,30,3,5,0,0,84,0
51259,Sales & Marketing,Cluster_7,Master's & above,m,other,3,39,3,9,0,0,53,0
12558,Analytics,Cluster_2,Bachelor's,m,sourcing,1,31,3,4,0,0,87,0
922,Sales & Marketing,Cluster_13,Master's & above,m,other,1,44,5,3,0,0,43,0
17545,Technology,Cluster_22,Master's & above,m,sourcing,1,48,3,18,0,0,80,0
73699,HR,Cluster_2,Master's & above,f,sourcing,1,53,3,18,1,0,46,0
25665,Finance,Cluster_29,Bachelor's,m,sourcing,1,30,4,4,1,0,62,0
15339,Technology,Cluster_2,Bachelor's,m,other,1,38,1,12,0,0,81,0
39961,Analytics,Cluster_30,Bachelor's,m,sourcing,1,33,3,5,0,0,89,0
11375,Sales & Marketing,Cluster_13,Master's & above,m,sourcing,1,49,5,7,0,0,49,0
25495,HR,Cluster_22,Master's & above,f,sourcing,1,42,2,5,0,0,47,0
2118,Sales & Marketing,Cluster_7,Bachelor's,m,other,1,35,1,3,1,0,46,0
19629,HR,Cluster_15,Master's & above,f,other,1,41,3,4,0,0,50,0
56047,HR,Cluster_7,Bachelor's,m,other,1,43,3,2,0,0,45,0
22317,Sales & Marketing,Cluster_27,Bachelor's,m,sourcing,1,30,5,6,1,0,44,0
29415,Technology,Cluster_22,Bachelor's,m,sourcing,1,30,1,4,0,0,81,0
72331,Procurement,Cluster_17,Bachelor's,f,sourcing,1,30,3,3,0,0,71,0
43927,Procurement,Cluster_26,Bachelor's,m,sourcing,1,30,1,4,0,0,85,1
4742,Sales & Marketing,Cluster_4,Bachelor's,m,sourcing,1,38,5,3,0,0,63,1
7171,Analytics,Cluster_27,Bachelor's,m,other,1,27,4,3,1,0,83,0
24162,R&D,Cluster_30,Bachelor's,f,sourcing,1,32,4,3,1,0,85,0
63447,Sales & Marketing,Cluster_2,Master's & above,m,sourcing,1,38,5,10,0,0,42,0
58119,Sales & Marketing,Cluster_14,Bachelor's,m,sourcing,1,35,4,10,0,0,47,0
8520,Procurement,Cluster_22,Bachelor's,m,sourcing,2,31,4,6,0,0,74,0
68154,Operations,Cluster_8,Master's & above,m,other,1,37,3,6,1,0,61,0
64156,Sales & Marketing,Cluster_2,,f,other,1,51,2,24,0,0,48,0
37453,Sales & Marketing,Cluster_22,Bachelor's,m,sourcing,1,45,5,5,0,0,48,0
26336,HR,Cluster_28,Master's & above,m,other,1,34,3,4,0,0,48,0
34969,Legal,Cluster_22,Bachelor's,m,referred,1,29,,1,0,0,60,0
62181,Procurement,Cluster_2,Master's & above,m,sourcing,1,57,2,27,0,0,74,0
14694,Procurement,Cluster_2,Master's & above,f,other,1,33,3,3,1,0,74,0
73869,Procurement,Cluster_2,Bachelor's,m,other,1,48,5,7,1,0,75,0
11565,Analytics,Cluster_13,Master's & above,f,other,1,32,4,4,0,0,82,0
2371,Analytics,Cluster_31,Bachelor's,m,other,1,30,4,3,0,0,83,0
2517,Analytics,Cluster_25,Master's & above,m,other,1,33,5,2,1,0,82,0
15675,Procurement,Cluster_2,Master's & above,m,other,2,46,4,5,1,0,70,0
51220,HR,Cluster_31,Bachelor's,f,other,1,27,5,4,0,0,49,0
70445,Operations,Cluster_2,Bachelor's,f,other,1,55,3,13,0,0,52,0
41322,Analytics,Cluster_14,Master's & above,m,other,1,38,4,10,0,0,80,0
27032,Sales & Marketing,Cluster_22,Bachelor's,m,other,3,26,1,4,0,0,52,0
71314,Operations,Cluster_15,Bachelor's,m,sourcing,2,36,5,6,1,0,56,0
1675,Technology,Cluster_14,Bachelor's,f,other,1,34,1,7,0,0,80,0
124,Operations,Cluster_22,Master's & above,f,sourcing,2,38,3,12,1,0,87,1
2351,Operations,Cluster_25,Bachelor's,m,sourcing,1,31,5,3,0,0,58,0
73229,Procurement,Cluster_17,Bachelor's,m,other,1,40,4,9,1,0,69,0
42150,Procurement,Cluster_15,Bachelor's,f,other,1,32,3,5,1,0,65,0
14003,Operations,Cluster_2,Master's & above,f,referred,1,35,5,8,1,0,60,1
42206,Technology,Cluster_23,Bachelor's,m,other,2,29,3,4,0,0,82,0
67789,Procurement,Cluster_2,Master's & above,f,other,1,38,5,7,1,0,65,0
43784,HR,Cluster_2,Bachelor's,f,referred,1,44,5,12,1,0,49,0
34873,Operations,Cluster_31,Bachelor's,f,other,1,41,3,11,0,0,60,0
35466,Sales & Marketing,Cluster_2,Master's & above,f,other,1,42,4,8,0,0,50,0
65095,Sales & Marketing,Cluster_28,Bachelor's,f,other,1,33,3,5,0,0,51,0
69811,Procurement,Cluster_4,Bachelor's,m,other,1,40,4,17,0,0,70,0
10098,Technology,Cluster_7,Bachelor's,m,sourcing,1,26,3,2,0,0,80,0
37860,Sales & Marketing,Cluster_22,Bachelor's,f,other,1,36,3,3,0,0,46,0
30858,Operations,Cluster_13,Bachelor's,m,sourcing,1,25,4,2,0,0,56,0
76953,Operations,Cluster_27,Bachelor's,m,other,1,35,3,2,0,0,60,0
50823,Procurement,Cluster_20,Master's & above,f,other,1,37,4,4,1,1,67,0
4662,Analytics,Cluster_22,Bachelor's,f,other,1,31,4,7,0,0,85,0
43251,Technology,Cluster_7,Bachelor's,m,sourcing,1,33,2,6,0,0,79,0
35161,Procurement,Cluster_2,Master's & above,f,sourcing,2,45,2,15,0,0,70,0
15316,Sales & Marketing,Cluster_2,Master's & above,f,other,1,56,2,5,0,0,46,0
35941,Analytics,Cluster_30,Master's & above,m,other,2,36,3,6,1,0,84,0
26698,Procurement,Cluster_2,Master's & above,f,other,1,50,3,7,1,0,71,0
43296,Sales & Marketing,Cluster_2,Bachelor's,f,sourcing,1,27,3,1,0,0,51,0
15751,Procurement,Cluster_30,Bachelor's,f,sourcing,1,34,4,10,1,0,68,0
12829,Sales & Marketing,Cluster_26,Bachelor's,m,other,3,28,3,4,0,0,51,0
57067,Procurement,Cluster_2,Bachelor's,m,sourcing,2,37,3,10,0,0,72,0
70308,Procurement,Cluster_31,Bachelor's,m,other,4,29,1,6,0,0,72,0
61060,Operations,Cluster_2,Bachelor's,m,sourcing,1,45,3,5,0,0,58,0
58457,Operations,Cluster_21,Master's & above,m,other,1,35,3,3,1,0,61,0
65725,Technology,Cluster_5,Master's & above,f,sourcing,1,34,3,8,0,0,84,0
48126,Operations,Cluster_15,Bachelor's,m,other,1,32,5,7,1,0,58,1
51386,Technology,Cluster_31,Master's & above,f,other,1,36,4,3,0,0,79,0
11435,Technology,Cluster_13,Bachelor's,m,referred,2,31,4,5,1,0,79,0
55475,Operations,Cluster_29,Master's & above,m,sourcing,1,34,1,3,0,0,60,0
47943,Sales & Marketing,Cluster_13,Master's & above,m,other,1,35,4,6,0,0,50,0
44052,HR,Cluster_10,Master's & above,f,other,1,33,5,8,0,0,51,0
67897,Sales & Marketing,Cluster_28,Bachelor's,m,other,1,35,4,7,1,0,50,0
35700,HR,Cluster_2,Bachelor's,f,other,1,48,5,12,0,0,48,0
45066,Finance,Cluster_7,Bachelor's,f,other,1,24,,1,1,0,58,0
7058,R&D,Cluster_26,Bachelor's,m,sourcing,2,26,5,3,0,0,86,0
42750,R&D,Cluster_2,Master's & above,m,other,1,46,5,2,1,0,89,0
30813,Procurement,Cluster_9,Bachelor's,f,sourcing,2,28,3,4,0,0,71,0
45799,Sales & Marketing,Cluster_7,Bachelor's,m,referred,1,33,4,7,0,0,46,0
68864,Technology,Cluster_15,Bachelor's,f,sourcing,1,27,4,2,1,0,76,0
27835,Sales & Marketing,Cluster_7,,m,other,1,25,3,3,1,0,48,1
50081,Finance,Cluster_15,Bachelor's,f,other,1,32,3,7,0,0,56,0
77551,Analytics,Cluster_9,Bachelor's,m,other,1,27,,1,0,0,88,0
6997,Procurement,Cluster_14,Bachelor's,f,sourcing,1,29,4,3,1,0,71,0
34056,Operations,Cluster_8,Master's & above,m,sourcing,1,34,3,5,0,0,55,0
77518,Sales & Marketing,Cluster_23,Bachelor's,m,sourcing,2,29,3,7,0,0,46,0
28550,Sales & Marketing,Cluster_2,Bachelor's,m,other,1,33,5,8,1,0,51,0
26174,Sales & Marketing,Cluster_2,Bachelor's,m,other,1,27,5,1,1,0,48,0
36277,Technology,Cluster_19,Bachelor's,m,other,1,29,3,2,0,0,81,0
71513,Finance,Cluster_13,Bachelor's,f,other,1,37,3,8,0,0,60,0
53671,Operations,Cluster_22,Bachelor's,f,other,1,39,5,8,1,0,57,1
8487,Sales & Marketing,Cluster_4,Bachelor's,m,other,1,57,2,25,0,0,54,0
17681,Sales & Marketing,Cluster_7,Bachelor's,m,other,1,30,4,5,1,0,65,1
18835,Sales & Marketing,Cluster_2,Master's & above,m,other,2,32,3,10,0,0,50,0
308,Operations,Cluster_19,Bachelor's,m,sourcing,2,32,1,3,0,0,60,0
17512,Procurement,Cluster_2,Master's & above,m,other,1,42,3,13,0,0,67,0
28577,HR,Cluster_22,Bachelor's,f,other,1,28,1,2,0,0,48,0
67369,Sales & Marketing,Cluster_15,Master's & above,m,other,1,36,4,3,1,0,65,1
26989,Sales & Marketing,Cluster_2,Master's & above,m,sourcing,1,44,3,7,1,0,53,0
19955,Sales & Marketing,Cluster_22,Master's & above,m,sourcing,1,41,3,11,1,0,51,0
60905,Operations,Cluster_26,Master's & above,m,other,1,53,3,5,0,0,64,0
51993,Sales & Marketing,Cluster_7,,m,sourcing,1,25,5,2,1,0,52,0
15738,Sales & Marketing,Cluster_2,Bachelor's,m,referred,1,32,2,8,1,0,48,0
60672,Operations,Cluster_3,Master's & above,m,other,1,33,3,7,1,0,56,0
57938,Sales & Marketing,Cluster_7,Bachelor's,m,other,2,33,4,7,0,0,46,0
54184,Technology,Cluster_4,Bachelor's,m,sourcing,1,38,3,5,0,0,81,0
35628,Technology,Cluster_2,Master's & above,f,other,2,40,3,10,0,0,81,0
8573,Analytics,Cluster_22,Master's & above,m,sourcing,1,39,5,11,1,0,84,0
15511,Operations,Cluster_20,Bachelor's,m,sourcing,1,26,4,5,0,0,59,0
30645,Operations,Cluster_13,Bachelor's,m,other,1,43,5,5,1,0,59,0
33452,Operations,Cluster_11,Bachelor's,m,other,1,29,2,6,0,0,61,0
39944,Procurement,Cluster_15,Master's & above,m,sourcing,1,35,5,5,1,0,68,0
8567,Sales & Marketing,Cluster_2,Bachelor's,m,other,1,53,3,3,1,0,47,0
626,Sales & Marketing,Cluster_13,Bachelor's,m,sourcing,1,53,1,5,0,0,49,0
17590,Procurement,Cluster_22,Master's & above,m,other,2,37,3,5,1,0,68,0
10220,Operations,Cluster_4,Bachelor's,m,sourcing,1,36,3,12,0,0,70,1
31092,Procurement,Cluster_16,Bachelor's,f,other,1,25,,1,0,0,71,0
67165,Sales & Marketing,Cluster_2,Bachelor's,m,other,2,27,2,2,0,0,53,0
31331,Operations,Cluster_22,Bachelor's,m,other,1,47,5,15,0,0,60,0
23706,Sales & Marketing,Cluster_2,Master's & above,f,other,1,44,2,5,0,0,42,0
70192,Operations,Cluster_31,Bachelor's,f,sourcing,1,43,4,12,1,0,51,0
45990,Operations,Cluster_7,Bachelor's,m,other,1,26,,1,0,0,56,0
69359,Analytics,Cluster_28,Master's & above,m,sourcing,2,31,5,5,1,0,88,0
57875,Analytics,Cluster_25,Master's & above,m,sourcing,1,32,5,3,0,0,86,0
64928,Sales & Marketing,Cluster_26,Bachelor's,m,sourcing,1,42,3,3,1,0,52,0
15036,Operations,Cluster_11,Bachelor's,m,sourcing,1,29,3,2,0,0,59,0
24228,Finance,Cluster_2,Bachelor's,m,other,1,29,5,6,0,0,57,0
11503,Technology,Cluster_2,Bachelor's,f,sourcing,1,29,,1,0,0,81,0
77736,Procurement,Cluster_2,Bachelor's,m,other,3,26,,1,0,0,67,0
12155,Sales & Marketing,Cluster_7,,m,other,2,25,,1,0,0,49,0
36804,Sales & Marketing,Cluster_14,Bachelor's,m,sourcing,1,34,1,3,0,0,47,0
36347,Sales & Marketing,Cluster_22,Bachelor's,m,other,3,27,3,5,1,0,51,0
72704,Sales & Marketing,Cluster_2,Bachelor's,m,sourcing,2,50,5,18,0,0,49,0
56748,Sales & Marketing,Cluster_7,Master's & above,f,other,1,41,5,7,1,0,48,0
7524,Operations,Cluster_7,Master's & above,f,other,1,39,3,2,0,0,62,0
53755,Analytics,Cluster_22,Bachelor's,m,sourcing,1,35,5,3,1,0,91,0
45537,Sales & Marketing,Cluster_2,Master's & above,m,sourcing,1,44,3,5,0,0,45,0
38964,Procurement,Cluster_22,Bachelor's,f,sourcing,1,31,3,5,0,0,67,0
28765,Operations,Cluster_11,Bachelor's,m,sourcing,1,25,2,3,0,0,64,0
35659,Procurement,Cluster_2,Master's & above,m,sourcing,1,41,4,11,0,0,67,0
26902,Finance,Cluster_6,Bachelor's,f,sourcing,1,26,,1,0,0,58,0
65396,Analytics,Cluster_19,Bachelor's,m,sourcing,2,25,3,3,1,0,84,0
45077,Operations,Cluster_7,Bachelor's,f,other,1,30,4,7,1,0,61,0
74729,Operations,Cluster_24,Bachelor's,f,other,1,32,5,3,1,0,61,0
40675,Technology,Cluster_9,Bachelor's,m,other,1,27,3,5,0,0,77,0
23128,Technology,Cluster_2,Bachelor's,f,other,1,30,3,2,1,0,77,1
45394,Analytics,Cluster_26,Master's & above,m,other,1,39,3,6,1,0,84,0
31566,Analytics,Cluster_23,Bachelor's,m,sourcing,3,30,3,4,0,0,85,0
77329,Operations,Cluster_2,Bachelor's,f,sourcing,1,40,4,7,0,0,61,0
45277,Sales & Marketing,Cluster_22,Bachelor's,m,referred,1,29,5,5,0,0,50,0
77894,Sales & Marketing,Cluster_8,Bachelor's,m,sourcing,1,27,4,2,0,0,50,0
70257,Operations,Cluster_19,Bachelor's,f,other,1,40,5,7,0,0,61,0
20815,Sales & Marketing,Cluster_15,,m,other,1,31,3,4,1,0,47,0
3391,Operations,Cluster_32,Master's & above,f,sourcing,1,42,4,5,0,0,64,0
59481,Sales & Marketing,Cluster_2,Bachelor's,m,other,2,53,2,10,0,0,48,0
49118,Technology,Cluster_27,Master's & above,f,sourcing,1,36,4,4,1,0,79,0
59941,R&D,Cluster_22,Master's & above,m,sourcing,1,28,,1,1,0,85,1
32100,Technology,Cluster_7,Master's & above,m,sourcing,1,44,3,7,0,0,81,0
74319,Sales & Marketing,Cluster_22,Bachelor's,m,other,2,32,5,8,0,0,51,0
3206,Analytics,Cluster_5,Bachelor's,m,other,1,36,3,8,1,0,81,0
20130,Technology,Cluster_2,Bachelor's,f,sourcing,1,33,3,3,0,0,85,0
19552,Technology,Cluster_6,Bachelor's,f,other,1,28,,1,1,0,82,0
50298,Procurement,Cluster_22,Bachelor's,m,sourcing,2,28,,1,0,0,69,0
42495,Analytics,Cluster_10,Master's & above,m,sourcing,1,35,3,9,0,0,83,0
18143,Technology,Cluster_5,Bachelor's,m,other,1,31,5,5,0,0,83,0
14869,Sales & Marketing,Cluster_19,Bachelor's,m,other,1,31,1,4,0,0,49,0
34921,Procurement,Cluster_6,Bachelor's,f,other,1,29,,1,1,0,70,0
85,Operations,Cluster_22,Master's & above,f,sourcing,1,40,5,5,0,0,59,0
67902,Technology,Cluster_22,Bachelor's,f,other,1,29,3,3,0,0,82,0
60337,Technology,Cluster_7,Bachelor's,m,sourcing,3,30,3,6,0,0,82,0
58574,Sales & Marketing,Cluster_7,Bachelor's,m,other,1,32,5,7,0,0,47,0
16038,Legal,Cluster_22,Bachelor's,m,sourcing,1,32,3,4,0,0,57,0
7972,Analytics,Cluster_32,,m,sourcing,1,30,5,4,1,0,82,1
2523,Operations,Cluster_22,Bachelor's,m,other,1,47,3,20,0,0,61,0
14355,Sales & Marketing,Cluster_28,Bachelor's,m,sourcing,2,41,3,14,0,0,46,0
20733,Procurement,Cluster_14,Master's & above,f,other,1,35,5,9,1,0,71,0
22004,Operations,Cluster_13,Bachelor's,m,sourcing,1,37,5,9,1,0,60,0
64895,Sales & Marketing,Cluster_32,Bachelor's,m,other,1,37,3,2,0,0,55,0
36400,Operations,Cluster_7,Master's & above,f,other,1,35,5,4,0,0,59,0
34850,Analytics,Cluster_2,Bachelor's,m,other,1,32,1,6,1,0,88,0
70333,Finance,Cluster_26,Bachelor's,m,other,2,31,4,2,0,0,59,0
27895,Sales & Marketing,Cluster_28,,m,other,1,27,2,2,0,0,52,0
29152,Operations,Cluster_22,Bachelor's,f,other,1,34,5,6,0,0,74,1
53991,Operations,Cluster_22,Bachelor's,m,other,1,35,5,4,0,0,60,0
47902,Sales & Marketing,Cluster_20,Master's & above,m,other,1,36,5,8,0,0,46,0
9117,Operations,Cluster_15,Master's & above,f,sourcing,1,44,4,13,1,0,59,0
11473,Finance,Cluster_31,Bachelor's,f,sourcing,1,26,3,2,0,0,64,0
16162,Analytics,Cluster_22,Master's & above,m,other,1,35,3,7,0,0,84,0
76352,Analytics,Cluster_15,Bachelor's,f,sourcing,2,28,5,5,1,0,81,0
31678,Analytics,Cluster_2,Bachelor's,m,other,1,38,1,9,0,0,85,0
10457,Technology,Cluster_2,Master's & above,f,other,1,49,3,18,0,0,82,0
44443,Operations,Cluster_16,Master's & above,m,other,1,44,4,16,1,0,89,1
49360,HR,Cluster_2,Below Secondary,m,sourcing,1,20,,1,0,0,50,0
43418,Finance,Cluster_13,Bachelor's,m,other,1,38,3,10,0,0,63,0
2447,Sales & Marketing,Cluster_2,Bachelor's,m,other,1,56,5,5,1,0,51,0
1734,Sales & Marketing,Cluster_2,Bachelor's,m,other,1,41,2,12,0,0,51,0
69665,Procurement,Cluster_2,Bachelor's,m,other,1,52,3,20,0,0,68,0
16717,Operations,Cluster_2,Master's & above,m,sourcing,1,54,4,14,0,0,59,0
13517,Sales & Marketing,Cluster_7,,m,other,1,23,1,2,0,0,49,0
67955,Procurement,Cluster_5,Bachelor's,m,sourcing,3,36,2,4,1,0,66,0
33842,HR,Cluster_2,Master's & above,m,sourcing,1,42,5,4,0,0,63,1
66264,Operations,Cluster_2,Bachelor's,m,other,1,26,3,1,1,0,62,0
20851,Operations,Cluster_22,Master's & above,m,other,1,34,5,6,0,0,61,0
68966,Procurement,Cluster_7,Master's & above,m,other,1,55,3,7,0,0,67,0
58156,Procurement,Cluster_10,Bachelor's,f,other,1,34,3,10,0,0,70,0
36192,Sales & Marketing,Cluster_15,Bachelor's,f,other,1,33,3,3,0,0,50,0
222,Procurement,Cluster_13,Master's & above,m,other,1,34,4,5,0,0,71,0
72524,Sales & Marketing,Cluster_8,Bachelor's,m,other,1,34,3,10,1,0,51,0
18765,Sales & Marketing,Cluster_6,Bachelor's,f,sourcing,1,28,,1,0,0,53,0
55043,Procurement,Cluster_2,Below Secondary,m,sourcing,1,26,3,4,0,0,67,0
20107,Operations,Cluster_19,Bachelor's,m,sourcing,1,36,2,3,0,0,59,0
10004,Operations,Cluster_19,Master's & above,m,other,2,50,3,15,0,0,56,0
30079,Procurement,Cluster_6,Bachelor's,m,sourcing,1,25,3,3,0,0,73,0
51204,Analytics,Cluster_2,Bachelor's,m,other,1,33,5,9,1,0,83,0
54201,Technology,Cluster_2,Bachelor's,m,sourcing,1,50,5,16,1,0,84,0
77784,Finance,Cluster_2,Bachelor's,m,other,2,29,,1,0,0,54,0
22981,Sales & Marketing,Cluster_2,Bachelor's,m,other,1,59,5,23,0,0,52,0
75032,Operations,Cluster_29,Master's & above,m,other,1,37,5,8,0,0,60,0
63953,Operations,Cluster_7,Below Secondary,m,other,1,26,3,4,0,0,64,0
43283,Sales & Marketing,Cluster_26,Bachelor's,m,other,2,37,1,13,0,0,49,0
44302,Sales & Marketing,Cluster_2,,m,other,1,34,3,9,0,0,48,0
26413,Analytics,Cluster_20,Bachelor's,m,other,2,28,2,2,0,0,87,1
25766,Operations,Cluster_24,Master's & above,f,sourcing,1,38,3,4,1,0,59,0
9203,Finance,Cluster_26,Bachelor's,m,other,1,36,1,8,0,0,61,0
4673,Sales & Marketing,Cluster_11,Bachelor's,m,sourcing,1,29,5,4,0,0,61,1
43752,Sales & Marketing,Cluster_2,Master's & above,m,sourcing,1,31,5,4,0,0,48,0
66358,Technology,Cluster_2,Master's & above,f,other,2,31,4,7,1,0,81,0
47290,Finance,Cluster_2,Bachelor's,m,sourcing,1,30,4,2,0,0,62,0
7873,Analytics,Cluster_9,Master's & above,m,other,1,27,,1,0,0,88,0
1856,Sales & Marketing,Cluster_2,Master's & above,f,sourcing,1,56,2,12,0,0,49,0
35084,Sales & Marketing,Cluster_25,Bachelor's,m,sourcing,1,33,5,7,1,0,44,1
24921,Procurement,Cluster_15,Bachelor's,m,other,1,29,3,4,1,0,73,0
43746,Procurement,Cluster_27,Bachelor's,f,sourcing,1,30,3,4,1,0,72,0
69141,Sales & Marketing,Cluster_15,,m,other,1,31,3,5,0,0,45,0
45256,Procurement,Cluster_10,Bachelor's,m,other,3,30,1,3,1,0,67,0
25580,Analytics,Cluster_2,Bachelor's,m,sourcing,2,32,5,5,1,0,85,0
15785,Sales & Marketing,Cluster_9,Bachelor's,m,sourcing,2,33,3,6,0,0,52,0
76700,Sales & Marketing,Cluster_22,Bachelor's,m,other,1,26,,1,1,0,50,0
58530,Analytics,Cluster_22,Bachelor's,f,sourcing,2,29,5,4,1,0,84,0
36744,Operations,Cluster_26,Bachelor's,m,sourcing,1,28,3,2,0,0,58,0
24882,Sales & Marketing,Cluster_1,Bachelor's,m,other,1,38,1,7,0,0,49,0
38249,Analytics,Cluster_9,Bachelor's,m,other,2,29,5,5,0,0,83,0
49670,Technology,Cluster_2,Master's & above,f,other,2,34,3,3,0,0,82,0
17768,Technology,Cluster_5,Bachelor's,m,other,1,36,3,7,0,0,85,0
20510,Sales & Marketing,Cluster_15,Bachelor's,f,other,1,30,3,5,0,0,46,0
57292,Operations,Cluster_27,Bachelor's,f,other,1,26,,1,1,0,57,0
70153,Technology,Cluster_26,Bachelor's,m,other,1,41,5,11,1,1,82,1
13763,Procurement,Cluster_19,Bachelor's,f,other,1,37,3,7,0,0,74,0
47585,Finance,Cluster_2,Bachelor's,m,other,1,41,4,6,1,0,62,1
28752,Analytics,Cluster_22,,m,sourcing,1,29,3,5,0,0,80,0
8950,Analytics,Cluster_15,Bachelor's,m,other,1,30,,1,1,0,84,0
12258,Technology,Cluster_31,Bachelor's,f,sourcing,1,26,,1,1,0,84,0
30097,Sales & Marketing,Cluster_3,Bachelor's,m,sourcing,3,29,1,3,0,0,49,0
64887,Operations,Cluster_30,Master's & above,m,other,1,37,1,2,1,0,58,0
525,Sales & Marketing,Cluster_22,Bachelor's,m,other,4,30,3,4,0,0,49,0
69463,Operations,Cluster_7,Master's & above,m,other,3,35,5,7,1,0,57,0
57039,Procurement,Cluster_22,Bachelor's,m,sourcing,1,26,5,3,1,0,65,0
74981,Sales & Marketing,Cluster_24,Master's & above,m,other,1,32,5,7,0,0,46,0
3763,Sales & Marketing,Cluster_16,Bachelor's,m,sourcing,1,51,4,17,0,0,63,1
60638,Sales & Marketing,Cluster_13,Bachelor's,m,sourcing,1,40,4,4,0,0,46,0
38138,Sales & Marketing,Cluster_31,Bachelor's,m,sourcing,1,30,3,4,0,0,52,0
30067,Finance,Cluster_30,Bachelor's,m,other,1,27,5,3,1,0,61,0
69845,Analytics,Cluster_29,Bachelor's,m,other,2,30,5,2,1,0,83,0
53666,Technology,Cluster_11,Master's & above,m,other,1,43,4,17,0,0,79,0
41923,Finance,Cluster_4,Bachelor's,f,other,1,34,3,3,0,0,64,0
25485,Procurement,Cluster_2,Master's & above,m,sourcing,1,40,3,8,1,0,68,0
38186,Operations,Cluster_16,Bachelor's,m,other,1,26,,1,0,0,58,0
56970,Sales & Marketing,Cluster_25,Bachelor's,m,sourcing,1,28,,1,1,0,53,0
13050,Analytics,Cluster_2,Bachelor's,m,sourcing,1,33,3,4,1,0,86,0
44409,Sales & Marketing,Cluster_17,Bachelor's,m,sourcing,1,30,1,12,0,0,47,0
26548,Sales & Marketing,Cluster_22,Bachelor's,m,other,1,52,3,14,0,0,45,0
48614,Sales & Marketing,Cluster_33,Bachelor's,f,sourcing,1,31,2,5,0,0,49,0
15828,Procurement,Cluster_2,Master's & above,f,sourcing,1,51,3,15,0,0,74,0
37399,Procurement,Cluster_2,Master's & above,m,sourcing,1,42,3,16,0,0,72,0
71293,HR,Cluster_7,Master's & above,m,other,1,39,5,6,1,1,47,1
68241,Technology,Cluster_4,Bachelor's,f,sourcing,1,46,3,16,0,0,77,0
38317,Operations,Cluster_29,Bachelor's,m,other,1,28,1,4,0,0,59,0
9609,Sales & Marketing,Cluster_11,Bachelor's,m,sourcing,1,27,3,3,0,0,55,0
77225,Procurement,Cluster_10,Master's & above,f,sourcing,1,38,3,7,1,0,71,0
39629,Sales & Marketing,Cluster_11,Bachelor's,f,other,1,35,5,9,0,0,48,0
2747,Procurement,Cluster_31,Bachelor's,f,other,1,32,3,2,0,0,69,0
54673,Finance,Cluster_2,Bachelor's,f,other,1,29,3,7,1,0,60,0
4061,Technology,Cluster_16,Bachelor's,m,other,1,40,5,4,1,0,82,0
38164,Sales & Marketing,Cluster_2,Bachelor's,m,referred,1,27,5,2,0,0,51,0
28315,Operations,Cluster_11,Bachelor's,f,sourcing,2,31,1,4,0,0,55,0
60416,Operations,Cluster_31,Bachelor's,m,sourcing,1,35,3,2,1,0,57,0
67334,Sales & Marketing,Cluster_2,Bachelor's,m,referred,1,36,3,5,1,1,48,0
28086,Technology,Cluster_2,Master's & above,f,other,1,59,1,18,0,0,82,0
69002,Sales & Marketing,Cluster_15,Bachelor's,f,sourcing,1,38,1,6,0,0,49,0
51114,Operations,Cluster_8,Bachelor's,m,sourcing,1,31,3,6,0,0,61,0
76980,Operations,Cluster_7,Master's & above,m,other,1,31,5,8,0,0,66,0
13989,Operations,Cluster_16,Bachelor's,f,other,2,26,,1,1,1,61,0
19484,Technology,Cluster_7,Bachelor's,m,other,1,39,5,8,1,0,80,0
31852,Analytics,Cluster_8,Bachelor's,m,other,1,30,1,2,0,0,85,0
4345,HR,Cluster_26,Bachelor's,m,other,1,29,3,5,0,0,48,0
68504,Legal,Cluster_22,Bachelor's,m,other,1,31,4,4,0,0,60,0
22426,Legal,Cluster_11,Bachelor's,m,sourcing,1,29,,1,0,0,64,0
14002,Procurement,Cluster_2,Master's & above,f,other,1,32,3,6,1,0,74,0
40568,Analytics,Cluster_31,Bachelor's,m,sourcing,2,25,3,2,0,0,81,0
21165,Procurement,Cluster_2,Master's & above,f,other,1,55,3,7,1,0,73,0
31171,Procurement,Cluster_2,Master's & above,f,other,2,51,3,7,0,0,65,0
34662,Legal,Cluster_22,Bachelor's,m,sourcing,3,28,,1,0,0,59,0
16329,Technology,Cluster_23,Master's & above,m,sourcing,1,32,5,7,0,0,78,0
52084,Technology,Cluster_2,Master's & above,f,other,1,39,2,5,0,0,81,0
27414,Operations,Cluster_26,Master's & above,m,other,1,32,3,5,0,0,63,0
